"A","B"
25523,22339
25523,22461
25523,22876
25523,23794
25523,24122
25523,24441
25620,26262
25620,26558
25620,27061
25620,27178
25620,27180
25620,27509
25620,27638
25620,28104
25620,28142
25620,28208
25620,28606
25620,28909
25620,28911
25620,29105
25620,29343
25620,29835
25620,29861
25620,29914
25620,30031
25620,30969
25620,31177
25620,31216
25620,31268
25620,31588
25620,31624
25620,32455
25620,32457
25620,32592
25620,32620
25620,32692
25620,32782
25620,32884
25620,33579
25620,33663
25620,33766
25620,33892
25620,34178
25620,34483
25620,35187
25620,35745
25620,35824
25620,36393
25620,36779
25620,36852
25620,37286
25620,37618
25620,37621
25620,37788
25620,37889
25620,38416
25620,38671
25620,38998
25620,39100
25620,39247
25620,39307
25620,39342
25620,39978
25620,40991
25620,41156
25620,41437
25620,41563
25620,41702
25620,42713
25620,42715
25620,42774
25620,43131
25620,21308
25620,21940
25620,22033
25620,22104
25620,22339
25620,22461
25620,22876
25620,23794
25620,24122
25620,24441
26262,26558
26262,27061
26262,27178
26262,27180
26262,27509
26262,27638
26262,28104
26262,28142
26262,28208
26262,28606
26262,28909
26262,28911
26262,29105
26262,29343
26262,29835
26262,29861
26262,29914
26262,30031
26262,30969
26262,31177
26262,31216
26262,31268
26262,31588
26262,31624
26262,32455
26262,32457
26262,32592
26262,32620
26262,32692
26262,32782
26262,32884
26262,33579
26262,33663
26262,33766
26262,33892
26262,34178
26262,34483
26262,35187
26262,35745
26262,35824
26262,36393
26262,36779
26262,36852
26262,37286
26262,37618
26262,37621
26262,37788
26262,37889
26262,38416
26262,38671
26262,38998
26262,39100
26262,39247
26262,39307
26262,39342
26262,39978
26262,40991
26262,41156
26262,41437
26262,41563
26262,41702
26262,42713
26262,42715
26262,42774
26262,43131
26262,21308
26262,21940
26262,22033
26262,22104
26262,22339
26262,22461
26262,22876
26262,23794
26262,24122
26262,24441
26558,27061
26558,27178
26558,27180
26558,27509
26558,27638
26558,28104
26558,28142
26558,28208
26558,28606
26558,28909
26558,28911
26558,29105
26558,29343
26558,29835
26558,29861
26558,29914
26558,30031
26558,30969
26558,31177
26558,31216
26558,31268
26558,31588
26558,31624
26558,32455
26558,32457
26558,32592
26558,32620
26558,32692
26558,32782
26558,32884
26558,33579
26558,33663
26558,33766
26558,33892
26558,34178
26558,34483
26558,35187
26558,35745
26558,35824
26558,36393
26558,36779
26558,36852
26558,37286
26558,37618
26558,37621
26558,37788
26558,37889
26558,38416
26558,38671
26558,38998
26558,39100
26558,39247
26558,39307
26558,39342
26558,39978
26558,40991
26558,41156
26558,41437
26558,41563
26558,41702
26558,42713
26558,42715
26558,42774
26558,43131
26558,21308
26558,21940
26558,22033
26558,22104
26558,22339
26558,22461
26558,22876
26558,23794
26558,24122
26558,24441
27061,27178
27061,27180
27061,27509
27061,27638
27061,28104
27061,28142
27061,28208
27061,28606
27061,28909
27061,28911
27061,29105
27061,29343
27061,29835
27061,29861
27061,29914
27061,30031
27061,30969
27061,31177
27061,31216
27061,31268
27061,31588
27061,31624
27061,32455
27061,32457
27061,32592
27061,32620
27061,32692
27061,32782
27061,32884
27061,33579
27061,33663
27061,33766
27061,33892
27061,34178
27061,34483
27061,35187
27061,35745
27061,35824
27061,36393
27061,36779
27061,36852
27061,37286
27061,37618
27061,37621
27061,37788
27061,37889
27061,38416
27061,38671
27061,38998
27061,39100
27061,39247
27061,39307
27061,39342
27061,39978
27061,40991
27061,41156
27061,41437
27061,41563
27061,41702
27061,42713
27061,42715
27061,42774
27061,43131
27061,21308
27061,21940
27061,22033
27061,22104
27061,22339
27061,22461
27061,22876
27061,23794
27061,24122
27061,24441
27178,27180
27178,27509
27178,27638
27178,28104
27178,28142
27178,28208
27178,28606
27178,28909
27178,28911
27178,29105
27178,29343
27178,29835
27178,29861
27178,29914
27178,30031
27178,30969
27178,31177
27178,31216
27178,31268
27178,31588
27178,31624
27178,32455
27178,32457
27178,32592
27178,32620
27178,32692
27178,32782
27178,32884
27178,33579
27178,33663
27178,33766
27178,33892
27178,34178
27178,34483
27178,35187
27178,35745
27178,35824
27178,36393
27178,36779
27178,36852
27178,37286
27178,37618
27178,37621
27178,37788
27178,37889
27178,38416
27178,38671
27178,38998
27178,39100
27178,39247
27178,39307
27178,39342
27178,39978
27178,40991
27178,41156
27178,41437
27178,41563
27178,41702
27178,42713
27178,42715
27178,42774
27178,43131
27178,21308
27178,21940
27178,22033
27178,22104
27178,22339
27178,22461
27178,22876
27178,23794
27178,24122
27178,24441
27180,27509
27180,27638
27180,28104
27180,28142
27180,28208
27180,28606
27180,28909
27180,28911
27180,29105
27180,29343
27180,29835
27180,29861
27180,29914
27180,30031
27180,30969
27180,31177
27180,31216
27180,31268
27180,31588
27180,31624
27180,32455
27180,32457
27180,32592
27180,32620
27180,32692
27180,32782
27180,32884
27180,33579
27180,33663
27180,33766
27180,33892
27180,34178
27180,34483
27180,35187
27180,35745
27180,35824
27180,36393
27180,36779
27180,36852
27180,37286
27180,37618
27180,37621
27180,37788
27180,37889
27180,38416
27180,38671
27180,38998
27180,39100
27180,39247
27180,39307
27180,39342
27180,39978
27180,40991
27180,41156
27180,41437
27180,41563
27180,41702
27180,42713
27180,42715
27180,42774
27180,43131
27180,21308
27180,21940
27180,22033
27180,22104
27180,22339
27180,22461
27180,22876
27180,23794
27180,24122
27180,24441
27509,27638
27509,28104
27509,28142
27509,28208
27509,28606
27509,28909
27509,28911
27509,29105
27509,29343
27509,29835
27509,29861
27509,29914
27509,30031
27509,30969
27509,31177
27509,31216
27509,31268
27509,31588
27509,31624
27509,32455
27509,32457
27509,32592
27509,32620
27509,32692
27509,32782
27509,32884
27509,33579
27509,33663
27509,33766
27509,33892
27509,34178
27509,34483
27509,35187
27509,35745
27509,35824
27509,36393
27509,36779
27509,36852
27509,37286
27509,37618
27509,37621
27509,37788
27509,37889
27509,38416
27509,38671
27509,38998
27509,39100
27509,39247
27509,39307
27509,39342
27509,39978
27509,40991
27509,41156
27509,41437
27509,41563
27509,41702
27509,42713
27509,42715
27509,42774
27509,43131
27509,21308
27509,21940
27509,22033
27509,22104
27509,22339
27509,22461
27509,22876
27509,23794
27509,24122
27509,24441
27638,28104
27638,28142
27638,28208
27638,28606
27638,28909
27638,28911
27638,29105
27638,29343
27638,29835
27638,29861
27638,29914
27638,30031
27638,30969
27638,31177
27638,31216
27638,31268
27638,31588
27638,31624
27638,32455
27638,32457
27638,32592
27638,32620
27638,32692
27638,32782
27638,32884
27638,33579
27638,33663
27638,33766
27638,33892
27638,34178
27638,34483
27638,35187
27638,35745
27638,35824
27638,36393
27638,36779
27638,36852
27638,37286
27638,37618
27638,37621
27638,37788
27638,37889
27638,38416
27638,38671
27638,38998
27638,39100
27638,39247
27638,39307
27638,39342
27638,39978
27638,40991
27638,41156
27638,41437
27638,41563
27638,41702
27638,42713
27638,42715
27638,42774
27638,43131
27638,21308
27638,21940
27638,22033
27638,22104
27638,22339
27638,22461
27638,22876
27638,23794
27638,24122
27638,24441
28104,28142
28104,28208
28104,28606
28104,28909
28104,28911
28104,29105
28104,29343
28104,29835
28104,29861
28104,29914
28104,30031
28104,30969
28104,31177
28104,31216
28104,31268
28104,31588
28104,31624
28104,32455
28104,32457
28104,32592
28104,32620
28104,32692
28104,32782
28104,32884
28104,33579
28104,33663
28104,33766
28104,33892
28104,34178
28104,34483
28104,35187
28104,35745
28104,35824
28104,36393
28104,36779
28104,36852
28104,37286
28104,37618
28104,37621
28104,37788
28104,37889
28104,38416
28104,38671
28104,38998
28104,39100
28104,39247
28104,39307
28104,39342
28104,39978
28104,40991
28104,41156
28104,41437
28104,41563
28104,41702
28104,42713
28104,42715
28104,42774
28104,43131
28104,21308
28104,21940
28104,22033
28104,22104
28104,22339
28104,22461
28104,22876
28104,23794
28104,24122
28104,24441
28142,28208
28142,28606
28142,28909
28142,28911
28142,29105
28142,29343
28142,29835
28142,29861
28142,29914
28142,30031
28142,30969
28142,31177
28142,31216
28142,31268
28142,31588
28142,31624
28142,32455
28142,32457
28142,32592
28142,32620
28142,32692
28142,32782
28142,32884
28142,33579
28142,33663
28142,33766
28142,33892
28142,34178
28142,34483
28142,35187
28142,35745
28142,35824
28142,36393
28142,36779
28142,36852
28142,37286
28142,37618
28142,37621
28142,37788
28142,37889
28142,38416
28142,38671
28142,38998
28142,39100
28142,39247
28142,39307
28142,39342
28142,39978
28142,40991
28142,41156
28142,41437
28142,41563
28142,41702
28142,42713
28142,42715
28142,42774
28142,43131
28142,21308
28142,21940
28142,22033
28142,22104
28142,22339
28142,22461
28142,22876
28142,23794
28142,24122
28142,24441
28208,28606
28208,28909
28208,28911
28208,29105
28208,29343
28208,29835
28208,29861
28208,29914
28208,30031
28208,30969
28208,31177
28208,31216
28208,31268
28208,31588
28208,31624
28208,32455
28208,32457
28208,32592
28208,32620
28208,32692
28208,32782
28208,32884
28208,33579
28208,33663
28208,33766
28208,33892
28208,34178
28208,34483
28208,35187
28208,35745
28208,35824
28208,36393
28208,36779
28208,36852
28208,37286
28208,37618
28208,37621
28208,37788
28208,37889
28208,38416
28208,38671
28208,38998
28208,39100
28208,39247
28208,39307
28208,39342
28208,39978
28208,40991
28208,41156
28208,41437
28208,41563
28208,41702
28208,42713
28208,42715
28208,42774
28208,43131
28208,21308
28208,21940
28208,22033
28208,22104
28208,22339
28208,22461
28208,22876
28208,23794
28208,24122
28208,24441
28606,28909
28606,28911
28606,29105
28606,29343
28606,29835
28606,29861
28606,29914
28606,30031
28606,30969
28606,31177
28606,31216
28606,31268
28606,31588
28606,31624
28606,32455
28606,32457
28606,32592
28606,32620
28606,32692
28606,32782
28606,32884
28606,33579
28606,33663
28606,33766
28606,33892
28606,34178
28606,34483
28606,35187
28606,35745
28606,35824
28606,36393
28606,36779
28606,36852
28606,37286
28606,37618
28606,37621
28606,37788
28606,37889
28606,38416
28606,38671
28606,38998
28606,39100
28606,39247
28606,39307
28606,39342
28606,39978
28606,40991
28606,41156
28606,41437
28606,41563
28606,41702
28606,42713
28606,42715
28606,42774
28606,43131
28606,21308
28606,21940
28606,22033
28606,22104
28606,22339
28606,22461
28606,22876
28606,23794
28606,24122
28606,24441
28909,28911
28909,29105
28909,29343
28909,29835
28909,29861
28909,29914
28909,30031
28909,30969
28909,31177
28909,31216
28909,31268
28909,31588
28909,31624
28909,32455
28909,32457
28909,32592
28909,32620
28909,32692
28909,32782
28909,32884
28909,33579
28909,33663
28909,33766
28909,33892
28909,34178
28909,34483
28909,35187
28909,35745
28909,35824
28909,36393
28909,36779
28909,36852
28909,37286
28909,37618
28909,37621
28909,37788
28909,37889
28909,38416
28909,38671
28909,38998
28909,39100
28909,39247
28909,39307
28909,39342
28909,39978
28909,40991
28909,41156
28909,41437
28909,41563
28909,41702
28909,42713
28909,42715
28909,42774
28909,43131
28909,21308
28909,21940
28909,22033
28909,22104
28909,22339
28909,22461
28909,22876
28909,23794
28909,24122
28909,24441
28911,29105
28911,29343
28911,29835
28911,29861
28911,29914
28911,30031
28911,30969
28911,31177
28911,31216
28911,31268
28911,31588
28911,31624
28911,32455
28911,32457
28911,32592
28911,32620
28911,32692
28911,32782
28911,32884
28911,33579
28911,33663
28911,33766
28911,33892
28911,34178
28911,34483
28911,35187
28911,35745
28911,35824
28911,36393
28911,36779
28911,36852
28911,37286
28911,37618
28911,37621
28911,37788
28911,37889
28911,38416
28911,38671
28911,38998
28911,39100
28911,39247
28911,39307
28911,39342
28911,39978
28911,40991
28911,41156
28911,41437
28911,41563
28911,41702
28911,42713
28911,42715
28911,42774
28911,43131
28911,21308
28911,21940
28911,22033
28911,22104
28911,22339
28911,22461
28911,22876
28911,23794
28911,24122
28911,24441
29105,29343
29105,29835
29105,29861
29105,29914
29105,30031
29105,30969
29105,31177
29105,31216
29105,31268
29105,31588
29105,31624
29105,32455
29105,32457
29105,32592
29105,32620
29105,32692
29105,32782
29105,32884
29105,33579
29105,33663
29105,33766
29105,33892
29105,34178
29105,34483
29105,35187
29105,35745
29105,35824
29105,36393
29105,36779
29105,36852
29105,37286
29105,37618
29105,37621
29105,37788
29105,37889
29105,38416
29105,38671
29105,38998
29105,39100
29105,39247
29105,39307
29105,39342
29105,39978
29105,40991
29105,41156
29105,41437
29105,41563
29105,41702
29105,42713
29105,42715
29105,42774
29105,43131
29105,21308
29105,21940
29105,22033
29105,22104
29105,22339
29105,22461
29105,22876
29105,23794
29105,24122
29105,24441
29343,29835
29343,29861
29343,29914
29343,30031
29343,30969
29343,31177
29343,31216
29343,31268
29343,31588
29343,31624
29343,32455
29343,32457
29343,32592
29343,32620
29343,32692
29343,32782
29343,32884
29343,33579
29343,33663
29343,33766
29343,33892
29343,34178
29343,34483
29343,35187
29343,35745
29343,35824
29343,36393
29343,36779
29343,36852
29343,37286
29343,37618
29343,37621
29343,37788
29343,37889
29343,38416
29343,38671
29343,38998
29343,39100
29343,39247
29343,39307
29343,39342
29343,39978
29343,40991
29343,41156
29343,41437
29343,41563
29343,41702
29343,42713
29343,42715
29343,42774
29343,43131
29343,21308
29343,21940
29343,22033
29343,22104
29343,22339
29343,22461
29343,22876
29343,23794
29343,24122
29343,24441
29835,29861
29835,29914
29835,30031
29835,30969
29835,31177
29835,31216
29835,31268
29835,31588
29835,31624
29835,32455
29835,32457
29835,32592
29835,32620
29835,32692
29835,32782
29835,32884
29835,33579
29835,33663
29835,33766
29835,33892
29835,34178
29835,34483
29835,35187
29835,35745
29835,35824
29835,36393
29835,36779
29835,36852
29835,37286
29835,37618
29835,37621
29835,37788
29835,37889
29835,38416
29835,38671
29835,38998
29835,39100
29835,39247
29835,39307
29835,39342
29835,39978
29835,40991
29835,41156
29835,41437
29835,41563
29835,41702
29835,42713
29835,42715
29835,42774
29835,43131
29835,21308
29835,21940
29835,22033
29835,22104
29835,22339
29835,22461
29835,22876
29835,23794
29835,24122
29835,24441
29861,29914
29861,30031
29861,30969
29861,31177
29861,31216
29861,31268
29861,31588
29861,31624
29861,32455
29861,32457
29861,32592
29861,32620
29861,32692
29861,32782
29861,32884
29861,33579
29861,33663
29861,33766
29861,33892
29861,34178
29861,34483
29861,35187
29861,35745
29861,35824
29861,36393
29861,36779
29861,36852
29861,37286
29861,37618
29861,37621
29861,37788
29861,37889
29861,38416
29861,38671
29861,38998
29861,39100
29861,39247
29861,39307
29861,39342
29861,39978
29861,40991
29861,41156
29861,41437
29861,41563
29861,41702
29861,42713
29861,42715
29861,42774
29861,43131
29861,21308
29861,21940
29861,22033
29861,22104
29861,22339
29861,22461
29861,22876
29861,23794
29861,24122
29861,24441
29914,30031
29914,30969
29914,31177
29914,31216
29914,31268
29914,31588
29914,31624
29914,32455
29914,32457
29914,32592
29914,32620
29914,32692
29914,32782
29914,32884
29914,33579
29914,33663
29914,33766
29914,33892
29914,34178
29914,34483
29914,35187
29914,35745
29914,35824
29914,36393
29914,36779
29914,36852
29914,37286
29914,37618
29914,37621
29914,37788
29914,37889
29914,38416
29914,38671
29914,38998
29914,39100
29914,39247
29914,39307
29914,39342
29914,39978
29914,40991
29914,41156
29914,41437
29914,41563
29914,41702
29914,42713
29914,42715
29914,42774
29914,43131
29914,21308
29914,21940
29914,22033
29914,22104
29914,22339
29914,22461
29914,22876
29914,23794
29914,24122
29914,24441
30031,30969
30031,31177
30031,31216
30031,31268
30031,31588
30031,31624
30031,32455
30031,32457
30031,32592
30031,32620
30031,32692
30031,32782
30031,32884
30031,33579
30031,33663
30031,33766
30031,33892
30031,34178
30031,34483
30031,35187
30031,35745
30031,35824
30031,36393
30031,36779
30031,36852
30031,37286
30031,37618
30031,37621
30031,37788
30031,37889
30031,38416
30031,38671
30031,38998
30031,39100
30031,39247
30031,39307
30031,39342
30031,39978
30031,40991
30031,41156
30031,41437
30031,41563
30031,41702
30031,42713
30031,42715
30031,42774
30031,43131
30031,21308
30031,21940
30031,22033
30031,22104
30031,22339
30031,22461
30031,22876
30031,23794
30031,24122
30031,24441
30969,31177
30969,31216
30969,31268
30969,31588
30969,31624
30969,32455
30969,32457
30969,32592
30969,32620
30969,32692
30969,32782
30969,32884
30969,33579
30969,33663
30969,33766
30969,33892
30969,34178
30969,34483
30969,35187
30969,35745
30969,35824
30969,36393
30969,36779
30969,36852
30969,37286
30969,37618
30969,37621
30969,37788
30969,37889
30969,38416
30969,38671
30969,38998
30969,39100
30969,39247
30969,39307
30969,39342
30969,39978
30969,40991
30969,41156
30969,41437
30969,41563
30969,41702
30969,42713
30969,42715
30969,42774
30969,43131
30969,21308
30969,21940
30969,22033
30969,22104
30969,22339
30969,22461
30969,22876
30969,23794
30969,24122
30969,24441
31177,31216
31177,31268
31177,31588
31177,31624
31177,32455
31177,32457
31177,32592
31177,32620
31177,32692
31177,32782
31177,32884
31177,33579
31177,33663
31177,33766
31177,33892
31177,34178
31177,34483
31177,35187
31177,35745
31177,35824
31177,36393
31177,36779
31177,36852
31177,37286
31177,37618
31177,37621
31177,37788
31177,37889
31177,38416
31177,38671
31177,38998
31177,39100
31177,39247
31177,39307
31177,39342
31177,39978
31177,40991
31177,41156
31177,41437
31177,41563
31177,41702
31177,42713
31177,42715
31177,42774
31177,43131
31177,21308
31177,21940
31177,22033
31177,22104
31177,22339
31177,22461
31177,22876
31177,23794
31177,24122
31177,24441
31216,31268
31216,31588
31216,31624
31216,32455
31216,32457
31216,32592
31216,32620
31216,32692
31216,32782
31216,32884
31216,33579
31216,33663
31216,33766
31216,33892
31216,34178
31216,34483
31216,35187
31216,35745
31216,35824
31216,36393
31216,36779
31216,36852
31216,37286
31216,37618
31216,37621
31216,37788
31216,37889
31216,38416
31216,38671
31216,38998
31216,39100
31216,39247
31216,39307
31216,39342
31216,39978
31216,40991
31216,41156
31216,41437
31216,41563
31216,41702
31216,42713
31216,42715
31216,42774
31216,43131
31216,21308
31216,21940
31216,22033
31216,22104
31216,22339
31216,22461
31216,22876
31216,23794
31216,24122
31216,24441
31268,31588
31268,31624
31268,32455
31268,32457
31268,32592
31268,32620
31268,32692
31268,32782
31268,32884
31268,33579
31268,33663
31268,33766
31268,33892
31268,34178
31268,34483
31268,35187
31268,35745
31268,35824
31268,36393
31268,36779
31268,36852
31268,37286
31268,37618
31268,37621
31268,37788
31268,37889
31268,38416
31268,38671
31268,38998
31268,39100
31268,39247
31268,39307
31268,39342
31268,39978
31268,40991
31268,41156
31268,41437
31268,41563
31268,41702
31268,42713
31268,42715
31268,42774
31268,43131
31268,21308
31268,21940
31268,22033
31268,22104
31268,22339
31268,22461
31268,22876
31268,23794
31268,24122
31268,24441
31588,31624
31588,32455
31588,32457
31588,32592
31588,32620
31588,32692
31588,32782
31588,32884
31588,33579
31588,33663
31588,33766
31588,33892
31588,34178
31588,34483
31588,35187
31588,35745
31588,35824
31588,36393
31588,36779
31588,36852
31588,37286
31588,37618
31588,37621
31588,37788
31588,37889
31588,38416
31588,38671
31588,38998
31588,39100
31588,39247
31588,39307
31588,39342
31588,39978
31588,40991
31588,41156
31588,41437
31588,41563
31588,41702
31588,42713
31588,42715
31588,42774
31588,43131
31588,21308
31588,21940
31588,22033
31588,22104
31588,22339
31588,22461
31588,22876
31588,23794
31588,24122
31588,24441
31624,32455
31624,32457
31624,32592
31624,32620
31624,32692
31624,32782
31624,32884
31624,33579
31624,33663
31624,33766
31624,33892
31624,34178
31624,34483
31624,35187
31624,35745
31624,35824
31624,36393
31624,36779
31624,36852
31624,37286
31624,37618
31624,37621
31624,37788
31624,37889
31624,38416
31624,38671
31624,38998
31624,39100
31624,39247
31624,39307
31624,39342
31624,39978
31624,40991
31624,41156
31624,41437
31624,41563
31624,41702
31624,42713
31624,42715
31624,42774
31624,43131
31624,21308
31624,21940
31624,22033
31624,22104
31624,22339
31624,22461
31624,22876
31624,23794
31624,24122
31624,24441
32455,32457
32455,32592
32455,32620
32455,32692
32455,32782
32455,32884
32455,33579
32455,33663
32455,33766
32455,33892
32455,34178
32455,34483
32455,35187
32455,35745
32455,35824
32455,36393
32455,36779
32455,36852
32455,37286
32455,37618
32455,37621
32455,37788
32455,37889
32455,38416
32455,38671
32455,38998
32455,39100
32455,39247
32455,39307
32455,39342
32455,39978
32455,40991
32455,41156
32455,41437
32455,41563
32455,41702
32455,42713
32455,42715
32455,42774
32455,43131
32455,21308
32455,21940
32455,22033
32455,22104
32455,22339
32455,22461
32455,22876
32455,23794
32455,24122
32455,24441
32457,32592
32457,32620
32457,32692
32457,32782
32457,32884
32457,33579
32457,33663
32457,33766
32457,33892
32457,34178
32457,34483
32457,35187
32457,35745
32457,35824
32457,36393
32457,36779
32457,36852
32457,37286
32457,37618
32457,37621
32457,37788
32457,37889
32457,38416
32457,38671
32457,38998
32457,39100
32457,39247
32457,39307
32457,39342
32457,39978
32457,40991
32457,41156
32457,41437
32457,41563
32457,41702
32457,42713
32457,42715
32457,42774
32457,43131
32457,21308
32457,21940
32457,22033
32457,22104
32457,22339
32457,22461
32457,22876
32457,23794
32457,24122
32457,24441
32592,32620
32592,32692
32592,32782
32592,32884
32592,33579
32592,33663
32592,33766
32592,33892
32592,34178
32592,34483
32592,35187
32592,35745
32592,35824
32592,36393
32592,36779
32592,36852
32592,37286
32592,37618
32592,37621
32592,37788
32592,37889
32592,38416
32592,38671
32592,38998
32592,39100
32592,39247
32592,39307
32592,39342
32592,39978
32592,40991
32592,41156
32592,41437
32592,41563
32592,41702
32592,42713
32592,42715
32592,42774
32592,43131
32592,21308
32592,21940
32592,22033
32592,22104
32592,22339
32592,22461
32592,22876
32592,23794
32592,24122
32592,24441
32620,32692
32620,32782
32620,32884
32620,33579
32620,33663
32620,33766
32620,33892
32620,34178
32620,34483
32620,35187
32620,35745
32620,35824
32620,36393
32620,36779
32620,36852
32620,37286
32620,37618
32620,37621
32620,37788
32620,37889
32620,38416
32620,38671
32620,38998
32620,39100
32620,39247
32620,39307
32620,39342
32620,39978
32620,40991
32620,41156
32620,41437
32620,41563
32620,41702
32620,42713
32620,42715
32620,42774
32620,43131
32620,21308
32620,21940
32620,22033
32620,22104
32620,22339
32620,22461
32620,22876
32620,23794
32620,24122
32620,24441
32692,32782
32692,32884
32692,33579
32692,33663
32692,33766
32692,33892
32692,34178
32692,34483
32692,35187
32692,35745
32692,35824
32692,36393
32692,36779
32692,36852
32692,37286
32692,37618
32692,37621
32692,37788
32692,37889
32692,38416
32692,38671
32692,38998
32692,39100
32692,39247
32692,39307
32692,39342
32692,39978
32692,40991
32692,41156
32692,41437
32692,41563
32692,41702
32692,42713
32692,42715
32692,42774
32692,43131
32692,21308
32692,21940
32692,22033
32692,22104
32692,22339
32692,22461
32692,22876
32692,23794
32692,24122
32692,24441
32782,32884
32782,33579
32782,33663
32782,33766
32782,33892
32782,34178
32782,34483
32782,35187
32782,35745
32782,35824
32782,36393
32782,36779
32782,36852
32782,37286
32782,37618
32782,37621
32782,37788
32782,37889
32782,38416
32782,38671
32782,38998
32782,39100
32782,39247
32782,39307
32782,39342
32782,39978
32782,40991
32782,41156
32782,41437
32782,41563
32782,41702
32782,42713
32782,42715
32782,42774
32782,43131
32782,21308
32782,21940
32782,22033
32782,22104
32782,22339
32782,22461
32782,22876
32782,23794
32782,24122
32782,24441
32884,33579
32884,33663
32884,33766
32884,33892
32884,34178
32884,34483
32884,35187
32884,35745
32884,35824
32884,36393
32884,36779
32884,36852
32884,37286
32884,37618
32884,37621
32884,37788
32884,37889
32884,38416
32884,38671
32884,38998
32884,39100
32884,39247
32884,39307
32884,39342
32884,39978
32884,40991
32884,41156
32884,41437
32884,41563
32884,41702
32884,42713
32884,42715
32884,42774
32884,43131
32884,21308
32884,21940
32884,22033
32884,22104
32884,22339
32884,22461
32884,22876
32884,23794
32884,24122
32884,24441
33579,33663
33579,33766
33579,33892
33579,34178
33579,34483
33579,35187
33579,35745
33579,35824
33579,36393
33579,36779
33579,36852
33579,37286
33579,37618
33579,37621
33579,37788
33579,37889
33579,38416
33579,38671
33579,38998
33579,39100
33579,39247
33579,39307
33579,39342
33579,39978
33579,40991
33579,41156
33579,41437
33579,41563
33579,41702
33579,42713
33579,42715
33579,42774
33579,43131
33579,21308
33579,21940
33579,22033
33579,22104
33579,22339
33579,22461
33579,22876
33579,23794
33579,24122
33579,24441
33663,33766
33663,33892
33663,34178
33663,34483
33663,35187
33663,35745
33663,35824
33663,36393
33663,36779
33663,36852
33663,37286
33663,37618
33663,37621
33663,37788
33663,37889
33663,38416
33663,38671
33663,38998
33663,39100
33663,39247
33663,39307
33663,39342
33663,39978
33663,40991
33663,41156
33663,41437
33663,41563
33663,41702
33663,42713
33663,42715
33663,42774
33663,43131
33663,21308
33663,21940
33663,22033
33663,22104
33663,22339
33663,22461
33663,22876
33663,23794
33663,24122
33663,24441
33766,33892
33766,34178
33766,34483
33766,35187
33766,35745
33766,35824
33766,36393
33766,36779
33766,36852
33766,37286
33766,37618
33766,37621
33766,37788
33766,37889
33766,38416
33766,38671
33766,38998
33766,39100
33766,39247
33766,39307
33766,39342
33766,39978
33766,40991
33766,41156
33766,41437
33766,41563
33766,41702
33766,42713
33766,42715
33766,42774
33766,43131
33766,21308
